"script","start_time","end_time","elapsed_sec","status","exit_code"
"sim_runs_15/run_L1_Bures.R","2026-01-17 10:57:50","2026-01-17 11:42:19",2669.46045398712,"ok",0
"sim_runs_15/run_L1_Frob.R","2026-01-17 11:42:19","2026-01-17 12:26:57",2677.63633704185,"ok",0
"sim_runs_15/run_L1_LogCosh.R","2026-01-17 12:26:57","2026-01-17 13:12:06",2708.72881388664,"ok",0
"sim_runs_15/run_L1_TaskObs.R","2026-01-17 13:12:06","2026-01-17 13:56:39",2672.89875602722,"ok",0
"sim_runs_15/run_L2_Bures.R","2026-01-17 13:56:39","2026-01-17 14:41:43",2704.56396889687,"ok",0
"sim_runs_15/run_L2_Frob.R","2026-01-17 14:41:43","2026-01-17 15:27:01",2717.63160300255,"ok",0
"sim_runs_15/run_L2_LogCosh.R","2026-01-17 15:27:01","2026-01-17 16:12:22",2721.1975710392,"ok",0
"sim_runs_15/run_L2_TaskObs.R","2026-01-17 16:12:22","2026-01-17 16:57:24",2702.02175092697,"ok",0
"sim_runs_15/run_L3_Bures.R","2026-01-17 16:57:24","2026-01-17 17:42:44",2719.82864689827,"ok",0
"sim_runs_15/run_L3_Frob.R","2026-01-17 17:42:44","2026-01-17 18:28:01",2716.76233291626,"ok",0
"sim_runs_15/run_L3_LogCosh.R","2026-01-17 18:28:01","2026-01-17 19:13:27",2726.54808783531,"ok",0
"sim_runs_15/run_L4_Bures.R","2026-01-17 19:13:27","2026-01-17 19:58:11",2683.92381191254,"ok",0
"sim_runs_15/run_L4_Frob.R","2026-01-17 19:58:11","2026-01-17 20:42:50",2679.23094201088,"ok",0
"sim_runs_15/run_L4_LogCosh.R","2026-01-17 20:42:50","2026-01-17 21:37:43",3292.98321890831,"ok",0
"sim_runs_15/run_L4_TaskObs.R","2026-01-17 21:37:43","2026-01-17 22:22:17",2673.0470290184,"ok",0
